Date,Team 1,FT,HT,Team 2
Sun Aug 3 2003,Ahlen,0-1,0-1,Osnabruck
Sun Aug 3 2003,Bielefeld,1-3,0-1,Oberhausen
Sun Aug 3 2003,Burghausen,1-1,1-1,Aachen
Sun Aug 3 2003,Cottbus,2-3,2-1,Ein Trier
Sun Aug 3 2003,Duisburg,2-1,0-0,Lubeck
Sun Aug 3 2003,Erzgebirge Aue,0-1,0-1,Regensburg
Sun Aug 3 2003,Greuther Furth,2-4,1-2,Unterhaching
Sun Aug 3 2003,Mainz,2-1,1-1,Union Berlin
Mon Aug 4 2003,Karlsruhe,2-3,0-0,Nurnberg
Fri Aug 8 2003,Ein Trier,2-1,2-0,Erzgebirge Aue
Fri Aug 8 2003,Lubeck,0-0,0-0,Bielefeld
Fri Aug 8 2003,Regensburg,0-0,0-0,Greuther Furth
Sun Aug 10 2003,Nurnberg,2-0,1-0,Burghausen
Sun Aug 10 2003,Oberhausen,1-3,1-0,Ahlen
Sun Aug 10 2003,Osnabruck,1-2,0-1,Karlsruhe
Sun Aug 10 2003,Union Berlin,0-1,0-1,Cottbus
Sun Aug 10 2003,Unterhaching,1-0,0-0,Duisburg
Mon Aug 11 2003,Aachen,2-2,1-1,Mainz
Fri Aug 15 2003,Erzgebirge Aue,2-1,2-1,Union Berlin
Fri Aug 15 2003,Karlsruhe,1-2,0-2,Oberhausen
Fri Aug 15 2003,Lubeck,0-2,0-0,Unterhaching
Sun Aug 17 2003,Bielefeld,3-0,2-0,Ahlen
Sun Aug 17 2003,Burghausen,4-1,2-0,Osnabruck
Sun Aug 17 2003,Cottbus,3-1,1-0,Aachen
Sun Aug 17 2003,Duisburg,2-2,1-1,Regensburg
Sun Aug 17 2003,Greuther Furth,4-2,2-1,Ein Trier
Mon Aug 18 2003,Mainz,2-1,1-0,Nurnberg
Fri Aug 22 2003,Ahlen,1-2,1-1,Karlsruhe
Fri Aug 22 2003,Ein Trier,1-1,1-1,Duisburg
Fri Aug 22 2003,Regensburg,0-4,0-2,Lubeck
Sun Aug 24 2003,Aachen,1-0,1-0,Erzgebirge Aue
Sun Aug 24 2003,Oberhausen,1-2,0-0,Burghausen
Sun Aug 24 2003,Osnabruck,2-2,2-1,Mainz
Sun Aug 24 2003,Union Berlin,3-0,1-0,Greuther Furth
Sun Aug 24 2003,Unterhaching,1-0,1-0,Bielefeld
Mon Aug 25 2003,Nurnberg,2-2,1-2,Cottbus
Fri Sep 12 2003,Burghausen,0-1,0-0,Ahlen
Fri Sep 12 2003,Duisburg,1-0,1-0,Union Berlin
Fri Sep 12 2003,Mainz,2-0,1-0,Oberhausen
Sun Sep 14 2003,Cottbus,3-0,2-0,Osnabruck
Sun Sep 14 2003,Erzgebirge Aue,3-3,1-2,Nurnberg
Sun Sep 14 2003,Greuther Furth,7-1,4-1,Aachen
Sun Sep 14 2003,Lubeck,2-2,0-1,Ein Trier
Sun Sep 14 2003,Unterhaching,2-2,1-2,Regensburg
Mon Sep 15 2003,Bielefeld,3-1,2-0,Karlsruhe
Fri Sep 19 2003,Aachen,2-1,2-0,Duisburg
Fri Sep 19 2003,Regensburg,1-2,1-2,Bielefeld
Fri Sep 19 2003,Union Berlin,1-2,0-0,Lubeck
Sun Sep 21 2003,Ahlen,1-3,0-1,Mainz
Sun Sep 21 2003,Ein Trier,2-1,1-0,Unterhaching
Sun Sep 21 2003,Karlsruhe,0-0,0-0,Burghausen
Sun Sep 21 2003,Oberhausen,0-0,0-0,Cottbus
Sun Sep 21 2003,Osnabruck,0-1,0-0,Erzgebirge Aue
Mon Sep 22 2003,Nurnberg,1-1,1-0,Greuther Furth
Fri Sep 26 2003,Cottbus,3-2,2-0,Ahlen
Fri Sep 26 2003,Lubeck,3-5,1-3,Aachen
Fri Sep 26 2003,Unterhaching,1-1,1-0,Union Berlin
Sun Sep 28 2003,Bielefeld,3-1,1-1,Burghausen
Sun Sep 28 2003,Duisburg,2-1,1-0,Nurnberg
Sun Sep 28 2003,Erzgebirge Aue,1-1,1-1,Oberhausen
Sun Sep 28 2003,Greuther Furth,1-1,0-0,Osnabruck
Sun Sep 28 2003,Regensburg,2-1,1-1,Ein Trier
Mon Sep 29 2003,Mainz,1-1,0-0,Karlsruhe
Fri Oct 3 2003,Ein Trier,2-3,1-2,Bielefeld
Fri Oct 3 2003,Karlsruhe,3-1,0-1,Cottbus
