Date,Team 1,FT,HT,Team 2
Fri Jul 29 2005,Paris SG,4-1,2-0,Metz
Sat Jul 30 2005,Lille,1-0,1-0,Rennes
Sat Jul 30 2005,Marseille,0-2,0-1,Bordeaux
Sat Jul 30 2005,Nancy,0-1,0-0,Monaco
Sat Jul 30 2005,Nantes,2-0,2-0,Lens
Sat Jul 30 2005,Nice,1-1,1-0,Troyes
Sat Jul 30 2005,Sochaux,0-1,0-1,Toulouse
Sat Jul 30 2005,St Etienne,0-0,0-0,Ajaccio
Sat Jul 30 2005,Strasbourg,0-0,0-0,Auxerre
Sun Jul 31 2005,Le Mans,1-2,0-1,Lyon
Sat Aug 6 2005,Ajaccio,3-3,2-2,Lille
Sat Aug 6 2005,Bordeaux,1-0,1-0,Nancy
Sat Aug 6 2005,Lens,2-0,1-0,Marseille
Sat Aug 6 2005,Metz,0-0,0-0,Le Mans
Sat Aug 6 2005,Monaco,0-2,0-1,Auxerre
Sat Aug 6 2005,Sochaux,0-1,0-0,Paris SG
Sat Aug 6 2005,Toulouse,0-2,0-2,Nice
Sat Aug 6 2005,Troyes,0-0,0-0,St Etienne
Sun Aug 7 2005,Lyon,1-0,1-0,Strasbourg
Sun Aug 7 2005,Rennes,0-3,0-1,Nantes
Sat Aug 13 2005,Auxerre,1-0,1-0,Bordeaux
Sat Aug 13 2005,Le Mans,4-0,2-0,Rennes
Sat Aug 13 2005,Lille,1-2,0-2,Troyes
Sat Aug 13 2005,Nancy,1-2,0-2,Lens
Sat Aug 13 2005,Nantes,0-2,0-0,Ajaccio
Sat Aug 13 2005,Nice,1-2,1-0,Sochaux
Sat Aug 13 2005,Paris SG,2-0,1-0,Toulouse
Sat Aug 13 2005,St Etienne,2-0,2-0,Metz
Sun Aug 14 2005,Marseille,1-1,1-1,Lyon
Sun Aug 14 2005,Strasbourg,1-2,0-0,Monaco
Sat Aug 20 2005,Ajaccio,0-0,0-0,Le Mans
Sat Aug 20 2005,Bordeaux,1-0,0-0,Monaco
