Date,Team 1,FT,HT,Team 2
Fri Aug 24 2012,Modena,1-1,0-1,Verona
Sat Aug 25 2012,Bari,2-1,1-0,Cittadella
Sat Aug 25 2012,Crotone,1-0,0-0,Brescia
Sat Aug 25 2012,Empoli,1-1,1-0,Reggina
Sat Aug 25 2012,Grosseto,1-1,1-0,Novara
Sat Aug 25 2012,Juve Stabia,1-3,1-1,Livorno
Sat Aug 25 2012,Padova,1-1,1-0,Virtus Lanciano
Sat Aug 25 2012,Pro Vercelli,1-0,1-0,Ternana
Sat Aug 25 2012,Spezia,2-1,1-0,Vicenza
Sat Aug 25 2012,Varese,2-0,0-0,Ascoli
Mon Aug 27 2012,Cesena,0-3,0-1,Sassuolo
Sat Sep 1 2012,Ascoli,1-3,1-0,Bari
Sat Sep 1 2012,Brescia,2-0,0-0,Juve Stabia
Sat Sep 1 2012,Cittadella,2-1,2-0,Grosseto
Sat Sep 1 2012,Novara,2-2,1-0,Empoli
Sat Sep 1 2012,Reggina,1-0,1-0,Pro Vercelli
Sat Sep 1 2012,Sassuolo,2-1,2-0,Crotone
Sat Sep 1 2012,Ternana,0-1,0-0,Modena
Sat Sep 1 2012,Verona,1-1,0-1,Spezia
Sat Sep 1 2012,Vicenza,3-1,2-1,Cesena
Sat Sep 1 2012,Virtus Lanciano,1-2,0-0,Varese
Mon Sep 3 2012,Livorno,3-2,2-1,Padova
Sat Sep 8 2012,Modena,1-2,0-0,Varese
Sat Sep 8 2012,Verona,2-0,1-0,Reggina
Sun Sep 9 2012,Bari,2-0,2-0,Ternana
Sun Sep 9 2012,Cesena,1-4,0-3,Novara
Sun Sep 9 2012,Crotone,3-1,0-1,Cittadella
Sun Sep 9 2012,Empoli,0-3,0-3,Sassuolo
Sun Sep 9 2012,Juve Stabia,1-1,1-1,Vicenza
Sun Sep 9 2012,Padova,1-1,0-1,Grosseto
Sun Sep 9 2012,Pro Vercelli,1-2,0-1,Livorno
Sun Sep 9 2012,Spezia,3-1,1-1,Brescia
Sun Sep 9 2012,Virtus Lanciano,1-1,1-0,Ascoli
Fri Sep 14 2012,Brescia,0-0,0-0,Padova
Sat Sep 15 2012,Ascoli,2-0,0-0,Spezia
Sat Sep 15 2012,Cittadella,1-0,0-0,Virtus Lanciano
Sat Sep 15 2012,Grosseto,1-0,1-0,Crotone
Sat Sep 15 2012,Livorno,4-2,1-0,Empoli
Sat Sep 15 2012,Novara,1-1,1-1,Juve Stabia
Sat Sep 15 2012,Reggina,2-2,1-1,Modena
Sat Sep 15 2012,Sassuolo,2-1,1-0,Pro Vercelli
Sat Sep 15 2012,Ternana,0-0,0-0,Cesena
Sat Sep 15 2012,Vicenza,2-3,1-2,Verona
Mon Sep 17 2012,Varese,2-2,0-0,Bari
Fri Sep 21 2012,Empoli,0-2,0-1,Ternana
Fri Sep 21 2012,Verona,1-1,1-0,Novara
Sat Sep 22 2012,Cesena,1-0,0-0,Cittadella
Sat Sep 22 2012,Crotone,0-0,0-0,Bari
Sat Sep 22 2012,Juve Stabia,1-2,1-1,Varese
Sat Sep 22 2012,Modena,1-0,0-0,Livorno
Sat Sep 22 2012,Padova,3-2,2-1,Reggina
Sat Sep 22 2012,Pro Vercelli,3-1,3-0,Ascoli
Sat Sep 22 2012,Spezia,0-2,0-1,Sassuolo
Sat Sep 22 2012,Vicenza,2-2,1-0,Brescia
Sat Sep 22 2012,Virtus Lanciano,1-1,0-1,Grosseto
Tue Sep 25 2012,Ascoli,1-0,0-0,Cesena
Tue Sep 25 2012,Bari,2-1,1-0,Pro Vercelli
Tue Sep 25 2012,Brescia,2-1,0-0,Modena
Tue Sep 25 2012,Grosseto,2-2,1-1,Juve Stabia
Tue Sep 25 2012,Livorno,2-2,1-0,Cittadella
Tue Sep 25 2012,Novara,1-0,0-0,Spezia
Tue Sep 25 2012,Padova,2-0,1-0,Empoli
Tue Sep 25 2012,Reggina,0-1,0-1,Virtus Lanciano
Tue Sep 25 2012,Sassuolo,0-0,0-0,Vicenza
Tue Sep 25 2012,Ternana,1-0,0-0,Crotone
Tue Sep 25 2012,Varese,0-3,0-1,Verona
Sat Sep 29 2012,Crotone,1-2,1-1,Livorno
Sat Sep 29 2012,Empoli,1-1,1-1,Brescia
Sat Sep 29 2012,Juve Stabia,1-0,0-0,Padova
Sat Sep 29 2012,Novara,1-2,0-1,Ternana
Sat Sep 29 2012,Sassuolo,1-0,1-0,Ascoli
Sat Sep 29 2012,Spezia,1-0,0-0,Reggina
Sat Sep 29 2012,Verona,1-0,0-0,Bari
Sat Sep 29 2012,Vicenza,2-1,0-1,Grosseto
Sat Sep 29 2012,Virtus Lanciano,1-1,1-0,Modena
Mon Oct 1 2012,Cesena,2-0,1-0,Varese
Mon Oct 1 2012,Cittadella,3-0,1-0,Pro Vercelli
Fri Oct 5 2012,Padova,2-1,1-1,Verona
Sat Oct 6 2012,Ascoli,2-0,1-0,Crotone
Sat Oct 6 2012,Bari,1-0,0-0,Vicenza
Sat Oct 6 2012,Brescia,2-0,0-0,Virtus Lanciano
Sat Oct 6 2012,Grosseto,1-2,0-1,Sassuolo
Sat Oct 6 2012,Modena,4-0,2-0,Cesena
Sat Oct 6 2012,Pro Vercelli,1-4,0-3,Juve Stabia
Sat Oct 6 2012,Reggina,1-0,0-0,Novara
Sat Oct 6 2012,Ternana,3-1,2-1,Cittadella
Sat Oct 6 2012,Varese,2-2,1-1,Empoli
Mon Oct 8 2012,Livorno,1-5,0-2,Spezia
Sat Oct 13 2012,Juve Stabia,2-1,1-0,Bari
Sat Oct 13 2012,Novara,4-2,1-0,Brescia
Sun Oct 14 2012,Cesena,0-0,0-0,Crotone
Sun Oct 14 2012,Cittadella,0-3,0-2,Modena
Sun Oct 14 2012,Empoli,0-3,0-2,Ascoli
Sun Oct 14 2012,Reggina,1-3,1-1,Livorno
Sun Oct 14 2012,Sassuolo,4-0,1-0,Varese
Sun Oct 14 2012,Spezia,1-1,0-0,Ternana
Sun Oct 14 2012,Verona,2-0,1-0,Grosseto
Sun Oct 14 2012,Vicenza,0-2,0-1,Padova
Sun Oct 14 2012,Virtus Lanciano,1-1,0-1,Pro Vercelli
Fri Oct 19 2012,Crotone,2-1,0-0,Novara
Sat Oct 20 2012,Ascoli,2-4,0-1,Juve Stabia
Sat Oct 20 2012,Cesena,1-1,1-0,Reggina
Sat Oct 20 2012,Cittadella,1-0,1-0,Sassuolo
Sat Oct 20 2012,Livorno,0-2,0-0,Verona
