Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 19 Aug 2016 (W33),Adanaspor (1),1-2,1-0,Bursaspor (1)
?,(Sat) 20 Aug 2016 (W33),Beşiktaş İstanbul JK (1),4-1,2-0,Alanyaspor (1)
?,(Sat) 20 Aug 2016 (W33),Çaykur Rizespor (1),1-1,0-0,Konyaspor (1)
?,(Sat) 20 Aug 2016 (W33),Trabzonspor AŞ (1),2-0,1-0,Kasımpaşa İstanbul SK (1)
?,(Sun) 21 Aug 2016 (W33),Antalyaspor (1),0-0,0-0,Osmanlıspor Ankara (1)
?,(Sun) 21 Aug 2016 (W33),İstanbul Başakşehir (1),1-0,1-0,Fenerbahçe İstanbul SK (1)
?,(Sun) 21 Aug 2016 (W33),Gençlerbirliği Ankara SK (1),2-0,1-0,Gaziantepspor (1)
?,(Sun) 21 Aug 2016 (W33),Kayserispor (1),0-2,0-0,Akhisar Belediyespor (1)
?,(Mon) 22 Aug 2016 (W34),Galatasaray İstanbul AŞ (1),1-0,0-0,Kardemir Karabükspor (1)
?,(Fri) 26 Aug 2016 (W34),Alanyaspor (2),2-1,0-1,Antalyaspor (2)
?,(Fri) 26 Aug 2016 (W34),Konyaspor (2),2-2,1-1,Beşiktaş İstanbul JK (2)
?,(Sat) 27 Aug 2016 (W34),Akhisar Belediyespor (2),1-3,1-1,Galatasaray İstanbul AŞ (2)
?,(Sat) 27 Aug 2016 (W34),Gaziantepspor (2),1-0,0-0,Trabzonspor AŞ (2)
?,(Sat) 27 Aug 2016 (W34),Kasımpaşa İstanbul SK (2),1-1,1-0,Adanaspor (2)
?,(Sun) 28 Aug 2016 (W34),Bursaspor (2),0-2,0-1,İstanbul Başakşehir (2)
?,(Sun) 28 Aug 2016 (W34),Fenerbahçe İstanbul SK (2),3-3,2-2,Kayserispor (2)
?,(Sun) 28 Aug 2016 (W34),Kardemir Karabükspor (2),3-0,1-0,Çaykur Rizespor (2)
?,(Sun) 28 Aug 2016 (W34),Osmanlıspor Ankara (2),2-2,2-1,Gençlerbirliği Ankara SK (2)
?,(Sat) 10 Sep 2016 (W36),Adanaspor (3),0-0,0-0,Gaziantepspor (3)
?,(Sat) 10 Sep 2016 (W36),Beşiktaş İstanbul JK (3),3-1,2-0,Kardemir Karabükspor (3)
?,(Sat) 10 Sep 2016 (W36),İstanbul Başakşehir (3),3-1,0-1,Kasımpaşa İstanbul SK (3)
