Date,Team 1,FT,HT,Team 2
Fri Jul 14 2017,U Craiova,2-0,?,Poli Iasi
Sat Jul 15 2017,Concordia,0-1,?,Poli Timisoara
Sat Jul 15 2017,Daco-Getica Bucuresti,0-3,?,Din. Bucuresti
Sun Jul 16 2017,Astra,1-0,?,Sepsi Sf. Gheorghe
Sun Jul 16 2017,FCSB,2-1,?,FC Voluntari
Mon Jul 17 2017,Viitorul Constanta,3-0,?,Gaz Metan Medias
Mon Jul 17 2017,FC Botosani,1-1,?,CFR Cluj
Fri Jul 21 2017,Sepsi Sf. Gheorghe,2-1,?,Daco-Getica Bucuresti
Fri Jul 21 2017,Poli Timisoara,0-1,?,FCSB
Sat Jul 22 2017,U Craiova,1-1,?,Concordia
Sat Jul 22 2017,CFR Cluj,2-0,?,Viitorul Constanta
Sun Jul 23 2017,Poli Iasi,0-0,?,Gaz Metan Medias
Sun Jul 23 2017,Din. Bucuresti,0-1,?,FC Botosani
Mon Jul 24 2017,FC Voluntari,3-1,?,Astra
Fri Jul 28 2017,FC Botosani,5-1,?,Sepsi Sf. Gheorghe
Fri Jul 28 2017,Concordia,0-1,?,Poli Iasi
Sat Jul 29 2017,Daco-Getica Bucuresti,0-0,?,FC Voluntari
Sat Jul 29 2017,Gaz Metan Medias,0-3,?,CFR Cluj
Sun Jul 30 2017,Viitorul Constanta,0-1,?,Din. Bucuresti
Sun Jul 30 2017,FCSB,1-1,?,U Craiova
Mon Jul 31 2017,Astra,3-0,?,Poli Timisoara
Fri Aug 4 2017,Poli Timisoara,2-1,?,Daco-Getica Bucuresti
Fri Aug 4 2017,FC Voluntari,1-3,?,FC Botosani
Sat Aug 5 2017,Sepsi Sf. Gheorghe,1-0,?,Viitorul Constanta
Sat Aug 5 2017,Poli Iasi,0-2,?,CFR Cluj
Sun Aug 6 2017,U Craiova,1-1,?,Astra
Sun Aug 6 2017,Concordia,1-2,?,FCSB
Mon Aug 7 2017,Din. Bucuresti,3-1,?,Gaz Metan Medias
Tue Aug 8 2017,FC Botosani,1-0,?,Poli Timisoara
Tue Aug 8 2017,Viitorul Constanta,0-0,?,FC Voluntari
Wed Aug 9 2017,Astra,1-0,?,Concordia
Wed Aug 9 2017,Daco-Getica Bucuresti,0-1,?,U Craiova
Wed Aug 9 2017,FCSB,1-1,?,Poli Iasi
Thu Aug 10 2017,Gaz Metan Medias,2-1,?,Sepsi Sf. Gheorghe
Thu Aug 10 2017,CFR Cluj,1-0,?,Din. Bucuresti
Fri Aug 11 2017,Poli Timisoara,0-0,?,Viitorul Constanta
Sat Aug 12 2017,Concordia,1-1,?,Daco-Getica Bucuresti
Sat Aug 12 2017,FCSB,1-1,?,Astra
Sun Aug 13 2017,U Craiova,1-0,?,FC Botosani
Sun Aug 13 2017,Poli Iasi,2-1,?,Din. Bucuresti
Mon Aug 14 2017,FC Voluntari,2-1,?,Gaz Metan Medias
Mon Aug 14 2017,Sepsi Sf. Gheorghe,0-2,?,CFR Cluj
Fri Aug 18 2017,Astra,0-0,?,Poli Iasi
Sat Aug 19 2017,Gaz Metan Medias,0-2,?,Poli Timisoara
Sat Aug 19 2017,Daco-Getica Bucuresti,1-2,?,FCSB
Sun Aug 20 2017,Viitorul Constanta,0-2,?,U Craiova
Sun Aug 20 2017,CFR Cluj,2-0,?,FC Voluntari
Mon Aug 21 2017,FC Botosani,2-1,?,Concordia
Mon Aug 21 2017,Din. Bucuresti,1-0,?,Sepsi Sf. Gheorghe
Fri Aug 25 2017,Astra,2-0,?,Daco-Getica Bucuresti
Fri Aug 25 2017,U Craiova,2-0,?,Gaz Metan Medias
Sat Aug 26 2017,Poli Timisoara,4-3,?,CFR Cluj
Sat Aug 26 2017,FC Voluntari,1-3,?,Din. Bucuresti
Sun Aug 27 2017,Concordia,1-2,?,Viitorul Constanta
Sun Aug 27 2017,FCSB,2-0,?,FC Botosani
Mon Aug 28 2017,Poli Iasi,0-2,?,Sepsi Sf. Gheorghe
Fri Sep 8 2017,FC Botosani,1-3,?,Astra
Sat Sep 9 2017,Daco-Getica Bucuresti,2-2,?,Poli Iasi
Sat Sep 9 2017,Viitorul Constanta,1-0,?,FCSB
Sun Sep 10 2017,Sepsi Sf. Gheorghe,0-3,?,FC Voluntari
Sun Sep 10 2017,CFR Cluj,2-1,?,U Craiova
Mon Sep 11 2017,Gaz Metan Medias,1-2,?,Concordia
Mon Sep 11 2017,Din. Bucuresti,1-2,?,Poli Timisoara
Fri Sep 15 2017,Daco-Getica Bucuresti,0-2,?,FC Botosani
Fri Sep 15 2017,Poli Iasi,2-1,?,FC Voluntari
Sat Sep 16 2017,Poli Timisoara,0-0,?,Sepsi Sf. Gheorghe
Sat Sep 16 2017,U Craiova,2-2,?,Din. Bucuresti
Sun Sep 17 2017,Concordia,0-1,?,CFR Cluj
Sun Sep 17 2017,FCSB,4-0,?,Gaz Metan Medias
Mon Sep 18 2017,Astra,3-1,?,Viitorul Constanta
Tue Sep 19 2017,FC Voluntari,1-0,?,Poli Timisoara
Tue Sep 19 2017,Sepsi Sf. Gheorghe,2-3,?,U Craiova
Wed Sep 20 2017,FC Botosani,3-3,?,Poli Iasi
Thu Sep 21 2017,Viitorul Constanta,3-0,?,Daco-Getica Bucuresti
Thu Sep 21 2017,Gaz Metan Medias,0-0,?,Astra
