Date,Team 1,FT,HT,Team 2
Fri Sep 11 2020,Rapid Vienna,4-1,?,Admira
Fri Sep 11 2020,LASK,1-0,?,Austria Vienna
Sat Sep 12 2020,Altach,1-1,?,Hartberg
Sun Sep 13 2020,Ried,3-2,?,Tirol
Sun Sep 13 2020,St. Polten,0-0,?,Sturm Graz
Sun Sep 13 2020,Wolfsberger AC,1-3,?,Salzburg
Sat Sep 19 2020,Salzburg,4-1,?,Altach
Sat Sep 19 2020,Sturm Graz,1-1,?,Rapid Vienna
Sat Sep 19 2020,Tirol,1-1,?,LASK
Sun Sep 20 2020,Admira,0-5,?,St. Polten
Sun Sep 20 2020,Hartberg,0-2,?,Wolfsberger AC
Sun Sep 20 2020,Austria Vienna,2-1,?,Ried
Sat Sep 26 2020,Altach,0-2,?,Tirol
Sat Sep 26 2020,Ried,1-3,?,Salzburg
Sat Sep 26 2020,St. Polten,1-2,?,Rapid Vienna
Sun Sep 27 2020,Austria Vienna,2-2,?,Admira
Sun Sep 27 2020,Hartberg,1-1,?,Sturm Graz
Sun Sep 27 2020,LASK,3-1,?,Wolfsberger AC
Sat Oct 3 2020,Admira,3-1,?,Ried
Sat Oct 3 2020,Tirol,0-2,?,Austria Vienna
Sat Oct 3 2020,Wolfsberger AC,2-4,?,St. Polten
Sun Oct 4 2020,Salzburg,7-1,?,Hartberg
Sun Oct 4 2020,Sturm Graz,4-0,?,Altach
Sun Oct 4 2020,Rapid Vienna,3-0,?,LASK
Sat Oct 24 2020,Altach,4-2,?,Admira
Sat Oct 24 2020,Austria Vienna,0-2,?,Salzburg
Sat Oct 24 2020,Ried,0-2,?,Sturm Graz
Sun Oct 25 2020,LASK,4-0,?,St. Polten
Sun Oct 25 2020,Tirol,1-1,?,Hartberg
Sun Oct 25 2020,Wolfsberger AC,3-4,?,Rapid Vienna
Sat Oct 31 2020,Hartberg,2-1,?,Austria Vienna
Sat Oct 31 2020,Salzburg,5-0,?,Tirol
Sat Oct 31 2020,St. Polten,4-0,?,Ried
Sun Nov 1 2020,Admira,1-3,?,Wolfsberger AC
Sun Nov 1 2020,Rapid Vienna,3-1,?,Altach
Sun Nov 1 2020,Sturm Graz,0-2,?,LASK
Sat Nov 7 2020,Altach,0-0,?,Austria Vienna
Sat Nov 7 2020,Ried,2-0,?,Hartberg
Sat Nov 7 2020,St. Polten,0-1,?,Tirol
Sun Nov 8 2020,LASK,4-0,?,Admira
Sun Nov 8 2020,Rapid Vienna,1-1,?,Salzburg
Sat Nov 21 2020,Altach,0-2,?,Wolfsberger AC
Sat Nov 21 2020,Hartberg,1-1,?,LASK
Sat Nov 21 2020,Salzburg,1-3,?,Sturm Graz
Sun Nov 22 2020,Austria Vienna,1-1,?,St. Polten
Sun Nov 22 2020,Tirol,3-0,?,Admira
Sun Nov 22 2020,Ried,4-3,?,Rapid Vienna
Sat Nov 28 2020,Admira,2-3,?,Hartberg
Sat Nov 28 2020,St. Polten,2-8,?,Salzburg
Sat Nov 28 2020,Sturm Graz,1-0,?,Tirol
Sun Nov 29 2020,LASK,3-0,?,Altach
Sun Nov 29 2020,Wolfsberger AC,1-1,?,Ried
Sun Nov 29 2020,Rapid Vienna,1-1,?,Austria Vienna
Sat Dec 5 2020,Admira,1-0,?,Salzburg
Sat Dec 5 2020,Altach,0-4,?,St. Polten
Sat Dec 5 2020,Austria Vienna,0-4,?,Sturm Graz
Sun Dec 6 2020,Hartberg,1-3,?,Rapid Vienna
Sun Dec 6 2020,Tirol,4-1,?,Wolfsberger AC
Sun Dec 6 2020,LASK,3-0,?,Ried
